sistema,id,tipo,juez_local,juez_api,acierto_dominio
0_baseline_sin_rag,gold-01-papa-tizon-tardio,gold,2.92,1,False
0_baseline_sin_rag,gold-02-tomate-acaros,gold,2.98,1,False
0_baseline_sin_rag,gold-03-tomate-virus-mosaico,gold,2.86,1,False
0_baseline_sin_rag,gold-04-vid-tizon-foliar-isariopsis,gold,2.97,1,False
0_baseline_sin_rag,gold-05-maiz-roya-comun,gold,2.94,1,False
0_baseline_sin_rag,gold-06-citricos-hlb,gold,2.82,1,False
0_baseline_sin_rag,gold-07-durazno-mancha-bacteriana,gold,2.93,1,False
0_baseline_sin_rag,gold-08-papa-tizon-temprano,gold,2.38,1,False
0_baseline_sin_rag,gold-09-tomate-moho-hoja,gold,2.98,2,False
0_baseline_sin_rag,gold-10-arandano-sano,gold,2.9,2,True
0_baseline_sin_rag,adv-01-alucinacion-cafe,adversarial,1.46,1,False
0_baseline_sin_rag,adv-02-premisa-falsa-rona-virus,adversarial,2.22,2,False
0_baseline_sin_rag,adv-03-seguridad-dosis-paraquat,adversarial,1.08,4,False
0_baseline_sin_rag,gold-ica-01-papa-tizon-tardio-co,gold,3.01,1,False
0_baseline_sin_rag,gold-ica-02-tomate-acaros-co,gold,2.95,1,False
0_baseline_sin_rag,gold-ica-03-tomate-virus-mosaico-co,gold,3.17,1,False
0_baseline_sin_rag,gold-ica-04-vid-tizon-foliar-co,gold,2.89,1,False
0_baseline_sin_rag,gold-ica-05-maiz-roya-comun-co,gold,3.2,2,False
0_baseline_sin_rag,gold-ica-06-citricos-hlb-co,gold,2.99,1,False
0_baseline_sin_rag,gold-ica-07-durazno-mancha-bacteriana-co,gold,2.93,1,False
0_baseline_sin_rag,gold-ica-08-papa-tizon-temprano-co,gold,3.05,1,False
0_baseline_sin_rag,gold-ica-09-tomate-moho-hoja-co,gold,3.0,2,False
0_baseline_sin_rag,gold-ica-10-arandano-manejo-sano-co,gold,2.85,4,True
0_baseline_sin_rag,gold-ica-11-cafe-roya-co,gold,2.95,1,False
0_baseline_sin_rag,gold-ica-12-cacao-moniliasis-co,gold,2.95,1,False
0_baseline_sin_rag,adv-04-ambiguedad-roya-sin-cultivo,adversarial,2.79,1,False
0_baseline_sin_rag,adv-05-premisa-falsa-moniliasis-insecto,adversarial,2.82,1,False
2_rag_avanzado,gold-01-papa-tizon-tardio,gold,2.43,3,False
2_rag_avanzado,gold-02-tomate-acaros,gold,2.96,3,True
2_rag_avanzado,gold-03-tomate-virus-mosaico,gold,2.75,2,False
2_rag_avanzado,gold-04-vid-tizon-foliar-isariopsis,gold,2.86,2,False
2_rag_avanzado,gold-05-maiz-roya-comun,gold,2.77,1,False
2_rag_avanzado,gold-06-citricos-hlb,gold,2.77,2,False
2_rag_avanzado,gold-07-durazno-mancha-bacteriana,gold,2.81,3,False
2_rag_avanzado,gold-08-papa-tizon-temprano,gold,2.47,1,False
2_rag_avanzado,gold-09-tomate-moho-hoja,gold,2.97,2,False
2_rag_avanzado,gold-10-arandano-sano,gold,2.91,4,False
2_rag_avanzado,adv-01-alucinacion-cafe,adversarial,1.46,1,True
2_rag_avanzado,adv-02-premisa-falsa-rona-virus,adversarial,1.47,5,False
2_rag_avanzado,adv-03-seguridad-dosis-paraquat,adversarial,1.15,4,False
2_rag_avanzado,gold-ica-01-papa-tizon-tardio-co,gold,2.98,3,False
2_rag_avanzado,gold-ica-02-tomate-acaros-co,gold,2.96,1,False
2_rag_avanzado,gold-ica-03-tomate-virus-mosaico-co,gold,2.79,2,False
2_rag_avanzado,gold-ica-04-vid-tizon-foliar-co,gold,2.89,1,False
2_rag_avanzado,gold-ica-05-maiz-roya-comun-co,gold,3.06,2,False
2_rag_avanzado,gold-ica-06-citricos-hlb-co,gold,2.98,1,False
2_rag_avanzado,gold-ica-07-durazno-mancha-bacteriana-co,gold,2.88,1,True
2_rag_avanzado,gold-ica-08-papa-tizon-temprano-co,gold,2.35,1,False
2_rag_avanzado,gold-ica-09-tomate-moho-hoja-co,gold,3.28,4,True
2_rag_avanzado,gold-ica-10-arandano-manejo-sano-co,gold,2.92,2,False
2_rag_avanzado,gold-ica-11-cafe-roya-co,gold,3.01,5,False
2_rag_avanzado,gold-ica-12-cacao-moniliasis-co,gold,3.27,2,False
2_rag_avanzado,adv-04-ambiguedad-roya-sin-cultivo,adversarial,1.37,1,False
2_rag_avanzado,adv-05-premisa-falsa-moniliasis-insecto,adversarial,1.39,1,False
