bloque,dimension,puntaje_baseline
gold,sim_embeddings_prom,0.738
gold,rougeL_prom,0.276
gold,llm_juez_prom,2.908
gold,llm_juez_entropia_prom,0.426
gold,aciertos_dominio,0/10
adversarial,llm_juez_prom,1.457
adversarial,se_abstuvo,0/3
adversarial,aciertos_dominio,0/3
sesgos_juez,longitud_spearman_rho,0.105
sesgos_juez,longitud_delta_relleno_medio,-2.208
sesgos_juez,longitud_delta_truncado_medio,-1.921
sesgos_juez,posicion_flip_rate,0.0
sesgos_juez,autopref_dif_media_juez1_menos_juez2,-0.31
sesgos_juez,autopref_spearman_j1_j2,0.225
sesgos_juez,autopref_kappa_ponderado,0.077
